gauge_name,Value_Match,Color_Match,Trend_Match,Yellow_Threshold_Match,Red_Threshold_Match,Trend_Y_Max_Match,Trend_Y_Min_Match,Unit_Match,Success_Match,Reliability_Quotient_Match,Publishing_Sensor_Match,Hide_From_Group_Match,Reason_Match
Blower Vibration,0,1,1,1,1,1,1,0,1,1,1,0,1
Machine Health,0,1,1,1,1,1,1,0,1,1,1,0,1
Oil Check,0,1,1,1,1,1,1,0,1,1,1,0,1
Oil Overfill Indicator,0,1,1,0,1,1,1,0,1,1,1,0,1
Machine Utilization,1,0,1,0,0,1,1,1,1,0,1,0,1
Abnormal Vibration,0,1,1,1,1,1,1,0,1,1,1,0,1
Belt Drive Misalignment,0,1,1,0,1,1,1,0,1,1,1,0,1
Sensor Installation,0,1,0,0,0,0,0,0,1,0,1,1,1
Filter Status,0,1,1,1,1,1,1,0,1,1,1,0,1
24 Hour Pump Utilization,1,0,1,0,0,1,1,1,1,0,1,0,1
Vacuum Frequency (10 minutes),0,0,1,0,0,1,1,0,1,0,1,0,1
Vacuum Distribution (10 minutes),0,0,0,0,0,0,0,0,1,0,1,0,1
24 Hour Operating Vacuum,0,0,1,0,0,1,1,0,1,0,1,0,1
Usage,1,0,1,0,0,1,1,1,1,0,1,0,1
Utilization Under Load,1,0,1,0,0,1,1,1,1,0,1,0,1
Sag,0,1,1,1,1,1,1,0,1,1,1,0,1
Swell,0,1,1,1,1,1,1,0,1,1,1,0,1
Heater Failure,0,1,0,0,0,0,0,0,1,0,1,0,1
Motor Bearing Failure,0,1,1,0,1,1,1,0,1,1,1,0,1
Current Imbalance,0,1,1,1,1,1,1,0,1,1,1,0,1
Voltage Imbalance,0,1,1,1,1,1,1,0,1,1,1,0,1
Drive Failure,0,1,1,0,1,1,1,0,1,1,1,0,1
Productivity,0,1,1,0,0,1,1,0,1,0,1,0,1
Stator Winding Failure,0,1,1,0,1,1,1,0,1,1,1,0,1
IR Radiation Temperature ( 10 minutes ),0,1,1,1,1,1,1,0,1,0,1,0,1
24 Hour Operating IR Radiation Temperature,0,0,0,0,0,0,0,0,1,0,1,0,1
Ambient Temperature ( 10 minutes ),0,1,1,1,1,1,1,0,1,0,1,0,1
24 Hour Operating Ambient Temperature,0,0,0,0,0,0,0,0,1,0,1,0,1
Humidity ( 10 minutes ),0,1,1,1,1,1,1,0,1,0,1,0,1
24 Hour Operating Humidity,0,0,0,0,0,0,0,0,1,0,1,0,1
